year,attendance,lat,long
1993,4800,37.7749,-122.4194
1995,3800,28.5383,-81.3792
1996,4750,41.8781,-87.6298
1997,4200,33.8353,-117.9145
1998,3850,32.7767,-96.797
1999,5000,39.2904,-76.6122
2000,3635,39.7684,-86.1581
2001,4038,33.749,-84.388
2002,5444,40.7128,-74.0059
2003,5542,37.7749,-122.4194
2005,5157,44.9778,-93.265
2006,6034,47.6062,-122.3321
2007,5186,40.7608,-111.891
2008,5592,39.7392,-104.9903
2009,6804,38.9072,-77.0369
2011,5300,25.7617,-80.1918
2012,6200,32.7157,-117.1611
